idcredito,duracao,historicocredito,proposito,valor,investimentos,emprego,tempoparcelamento,estadocivil,fiadorterceiros,residenciadesde,idade,outrosfinanciamentos,habitacao,emprestimoexistente,profissao,dependentes,socioempresa,estrangeiro,status
303,24,1,4,1344,1,4.0,4,4,3,2.0,37,1,1.0,2,3,2,0,0,0
304,10,1,4,1038,2,4.0,4,4,2,3.0,49,3,1.0,2,4,1,1,0,1
305,48,1,4,10127,3,3.0,2,4,3,2.0,44,1,2.0,1,4,1,0,0,0
306,6,2,3,1543,4,3.0,4,2,3,2.0,33,3,1.0,1,4,1,0,0,1
307,30,2,5,4811,1,4.0,2,1,3,4.0,24,2,3.0,1,3,1,0,0,1
308,12,2,1,727,5,1.0,4,3,3,3.0,33,3,1.0,1,3,1,1,0,0
309,8,2,3,1237,2,3.0,3,1,3,4.0,24,3,1.0,1,4,1,0,0,0
310,9,2,4,276,2,3.0,4,3,3,4.0,22,3,3.0,1,3,1,0,0,1
311,48,2,9,5381,1,5.0,3,4,3,4.0,40,1,2.0,1,2,1,1,0,1
312,24,2,3,5511,5,3.0,4,4,3,1.0,25,2,1.0,1,4,1,0,0,1
313,24,2,3,3749,2,1.0,2,1,3,4.0,26,3,1.0,1,4,1,0,0,1
314,12,2,4,685,2,4.0,2,3,3,3.0,25,1,1.0,1,3,1,0,0,0
315,4,2,4,1494,1,1.0,1,4,3,2.0,29,3,1.0,1,3,2,0,1,1
316,36,5,3,2746,2,2.0,4,4,3,4.0,31,1,1.0,1,4,1,0,0,0
317,12,2,3,708,2,3.0,2,4,4,3.0,38,3,1.0,1,3,2,0,0,1
318,24,2,3,4351,1,3.0,1,1,3,4.0,48,3,1.0,1,3,1,1,0,1
319,12,1,2,701,2,3.0,4,4,3,2.0,32,3,1.0,2,4,1,0,0,1
320,15,3,3,3643,2,2.0,1,1,3,4.0,27,3,1.0,2,3,1,0,0,1
321,30,1,4,4249,2,5.0,4,3,3,2.0,28,3,1.0,2,1,1,0,0,0
322,24,2,1,1938,2,1.0,4,2,3,3.0,32,3,1.0,1,4,1,0,0,0
323,24,2,5,2910,2,4.0,2,4,3,1.0,34,3,2.0,1,1,1,1,0,1
324,18,2,3,2659,4,3.0,4,4,3,2.0,28,3,1.0,1,4,1,0,0,1
325,18,1,4,1028,2,3.0,4,1,3,3.0,36,3,1.0,2,4,1,0,0,1
326,8,1,4,3398,2,4.0,1,4,3,4.0,39,3,1.0,2,3,1,0,1,1
327,12,1,3,5801,1,2.0,2,4,3,4.0,49,3,3.0,1,4,1,1,0,1
328,24,2,4,1525,4,4.0,4,1,3,3.0,34,3,1.0,1,4,2,1,0,1
329,36,2,1,4473,2,2.0,4,4,3,2.0,31,3,1.0,1,4,1,0,0,1
330,6,2,1,1068,2,2.0,4,4,3,4.0,28,3,1.0,1,4,2,0,0,1
331,24,1,5,6615,2,5.0,2,4,3,4.0,75,3,2.0,2,1,1,1,0,1
332,18,1,2,1864,5,3.0,4,1,3,2.0,30,3,1.0,2,4,1,0,0,0
333,60,2,4,7408,5,1.0,4,1,3,2.0,24,3,1.0,1,1,1,0,0,0
334,48,1,5,11590,5,3.0,2,1,3,4.0,24,1,3.0,2,3,1,0,0,0
335,24,4,3,4110,2,2.0,3,4,3,4.0,23,1,3.0,2,4,2,0,0,0
336,6,1,3,3384,2,3.0,1,2,3,4.0,44,3,3.0,1,1,1,1,0,0
337,13,2,1,2101,2,1.0,2,1,4,4.0,23,3,1.0,1,3,1,0,0,1
338,15,2,7,1275,1,3.0,4,1,3,2.0,24,3,3.0,1,4,1,0,0,0
339,24,2,3,4169,2,3.0,4,4,3,4.0,28,3,1.0,1,4,1,0,0,1
340,10,2,3,1521,2,3.0,4,2,3,2.0,31,3,1.0,1,3,1,0,0,1
341,24,1,2,5743,2,1.0,2,1,3,4.0,24,3,2.0,2,4,1,1,0,1
342,21,2,3,3599,2,4.0,1,1,3,4.0,26,3,3.0,1,3,1,0,0,1
343,18,2,1,3213,3,1.0,1,3,3,3.0,25,3,3.0,1,4,1,0,0,1
344,18,2,6,4439,2,2.0,1,4,2,1.0,33,1,1.0,1,1,1,1,0,1
345,10,2,4,3949,2,1.0,1,4,4,1.0,37,3,1.0,1,3,2,0,0,1
346,15,1,1,1459,2,3.0,4,1,3,2.0,43,3,1.0,1,3,1,0,0,1
347,13,1,1,882,2,1.0,4,4,4,4.0,23,3,1.0,2,4,1,0,0,1
348,24,2,1,3758,3,5.0,1,1,3,4.0,23,3,3.0,1,2,1,0,0,1
349,6,3,6,1743,5,3.0,1,4,3,2.0,34,3,1.0,2,3,1,0,0,1
351,9,2,7,1236,2,1.0,1,1,3,4.0,23,3,3.0,1,4,1,1,0,1
352,9,2,3,959,2,3.0,1,1,3,2.0,29,3,1.0,1,4,1,0,1,0
353,18,1,5,3229,1,5.0,2,4,3,4.0,38,3,1.0,1,1,1,1,0,1
354,12,4,1,6199,2,3.0,4,4,3,2.0,28,3,3.0,2,4,1,1,0,0
355,10,2,2,727,3,2.0,4,4,3,4.0,46,3,2.0,1,4,1,1,0,1
357,12,1,1,2331,1,2.0,1,4,2,4.0,49,3,1.0,1,4,1,1,0,1
358,36,3,1,4463,2,3.0,4,4,3,2.0,26,3,1.0,2,1,1,1,0,0
359,12,2,1,776,2,3.0,4,3,3,2.0,28,3,1.0,1,4,1,0,0,1
360,30,2,3,2406,2,4.0,4,1,3,4.0,23,3,3.0,1,4,1,0,0,0
361,18,2,2,1239,1,3.0,4,4,3,4.0,61,3,2.0,1,4,1,0,0,1
362,12,2,1,3399,1,2.0,2,4,3,3.0,37,3,1.0,1,1,1,0,0,1
363,12,3,4,2247,2,3.0,2,1,3,2.0,36,2,1.0,2,4,1,1,0,1
364,6,2,3,1766,2,3.0,1,3,3,2.0,21,3,3.0,1,4,1,0,0,1
365,18,2,3,2473,2,5.0,4,4,3,1.0,25,3,1.0,1,2,1,0,0,0
366,12,2,6,1542,2,4.0,2,4,3,4.0,36,3,1.0,1,4,1,1,0,1
367,18,1,5,3850,2,4.0,3,4,3,1.0,27,3,1.0,2,4,1,0,0,1
368,18,2,3,3650,2,1.0,1,1,3,4.0,22,3,3.0,1,4,1,0,0,1
369,36,2,3,3446,2,2.0,4,4,3,2.0,42,3,1.0,1,4,2,0,0,0
370,18,2,3,3001,2,4.0,2,1,3,4.0,40,3,3.0,1,4,1,0,0,1
371,36,2,4,3079,1,3.0,4,4,3,4.0,36,3,1.0,1,4,1,0,0,1
372,18,1,1,6070,2,2.0,3,4,3,4.0,33,3,1.0,2,4,1,1,0,1
373,10,1,3,2146,2,1.0,1,1,3,3.0,23,3,3.0,2,4,1,0,0,1
374,60,1,4,13756,1,2.0,2,4,3,4.0,63,1,2.0,1,1,1,1,0,1
375,60,5,9,14782,5,2.0,3,1,3,4.0,60,1,2.0,2,1,1,1,0,0
376,48,5,6,7685,2,4.0,2,1,4,4.0,37,3,3.0,1,4,1,0,0,0
377,18,3,1,2320,2,5.0,2,3,3,3.0,34,3,1.0,2,4,1,0,0,1
378,7,3,1,846,1,2.0,3,4,3,4.0,36,3,2.0,1,4,1,0,0,1
379,36,2,4,14318,2,2.0,4,4,3,2.0,57,3,2.0,1,1,1,1,0,0
380,6,1,4,362,5,3.0,4,1,3,4.0,52,3,1.0,2,3,1,0,0,1
381,20,2,3,2212,1,4.0,4,4,3,4.0,39,3,1.0,1,4,1,1,0,1
382,18,2,5,12976,2,5.0,3,1,3,4.0,38,3,2.0,1,1,1,1,0,0
383,22,2,4,1283,1,4.0,4,1,3,4.0,25,3,3.0,1,4,1,0,0,1
384,12,2,4,1330,2,1.0,4,4,3,1.0,26,3,1.0,1,4,1,0,0,1
385,30,3,6,4272,5,3.0,2,4,3,2.0,26,3,1.0,2,3,1,0,0,1
386,18,1,1,2238,2,3.0,2,1,3,1.0,25,3,1.0,2,4,1,0,0,1
387,18,2,1,1126,1,1.0,4,1,3,2.0,21,3,3.0,1,4,1,1,0,1
388,18,1,3,7374,2,5.0,4,4,3,4.0,40,2,1.0,2,1,1,1,0,1
389,15,1,6,2326,3,3.0,2,4,3,4.0,27,1,1.0,1,4,1,0,0,1
390,9,2,6,1449,2,4.0,3,1,3,2.0,27,3,1.0,2,4,1,0,0,1
391,18,2,4,1820,2,3.0,2,3,3,2.0,30,3,1.0,1,1,1,1,0,1
392,12,2,3,983,4,1.0,1,1,3,4.0,19,3,3.0,1,3,1,0,0,1
393,36,2,4,3249,2,4.0,2,4,3,4.0,39,1,2.0,1,1,2,1,0,1
394,6,1,1,1957,2,4.0,1,1,3,4.0,31,3,1.0,1,4,1,0,0,1
397,12,2,3,2578,2,5.0,3,1,3,4.0,55,3,2.0,1,1,1,0,0,1
398,36,1,3,2348,2,3.0,3,3,3,2.0,46,3,1.0,2,4,1,1,0,1
399,12,2,4,1223,2,2.0,1,2,3,1.0,46,3,3.0,2,4,1,0,0,0
400,24,1,1,1516,4,3.0,4,1,3,1.0,43,3,1.0,2,3,1,0,0,1
401,18,2,1,1473,2,1.0,3,3,3,4.0,39,3,1.0,1,4,1,1,0,1
402,18,1,6,1887,1,3.0,4,3,3,4.0,28,1,1.0,2,4,1,0,0,1
403,24,3,6,8648,2,1.0,2,4,3,2.0,27,1,1.0,2,4,1,1,0,0
404,14,3,4,802,2,3.0,4,4,3,2.0,27,3,1.0,2,3,1,0,0,1
405,18,3,4,2899,1,2.0,4,4,3,4.0,43,3,1.0,1,4,2,0,0,1
406,24,2,1,2039,2,1.0,1,3,3,1.0,22,3,1.0,1,4,1,1,0,0
407,24,1,5,2197,1,4.0,4,4,3,4.0,43,3,1.0,2,4,2,1,0,1
408,15,2,1,1053,2,1.0,4,3,3,2.0,27,3,1.0,1,4,1,0,1,1
409,24,2,1,3235,3,2.0,3,2,3,2.0,26,3,1.0,1,1,1,1,0,1
410,12,1,4,939,3,4.0,4,3,3,2.0,28,3,1.0,3,4,1,1,0,0
411,24,2,1,1967,2,2.0,4,1,3,4.0,20,3,1.0,1,4,1,1,0,1
413,12,1,6,2292,2,5.0,4,4,3,2.0,42,2,1.0,2,1,1,1,0,0
414,10,2,4,1597,3,3.0,3,4,3,2.0,40,3,3.0,1,3,2,0,1,1
415,24,2,4,1381,1,3.0,4,1,3,2.0,35,3,1.0,1,4,1,0,0,0
416,36,1,5,5842,2,2.0,2,4,3,2.0,35,3,1.0,2,4,2,1,0,1
417,12,2,4,2579,2,1.0,4,4,3,1.0,33,3,1.0,1,3,2,0,0,0
418,18,3,2,8471,1,3.0,1,1,3,2.0,23,3,3.0,2,4,1,1,0,1
419,21,2,4,2782,3,4.0,1,1,3,2.0,31,1,1.0,1,1,1,0,0,1
420,18,2,4,1042,1,3.0,4,1,3,2.0,33,3,1.0,1,4,1,0,0,0
395,9,2,3,2406,2,5.0,2,4,3,3.0,31,3,1.0,1,1,1,0,0,1
412,33,1,5,7253,2,4.0,3,4,3,2.0,35,3,1.0,2,4,1,1,0,1
421,15,2,4,3186,4,4.0,2,1,3,3.0,20,3,3.0,1,4,1,0,0,1
422,12,2,5,2028,1,3.0,4,4,3,2.0,30,3,1.0,1,4,1,0,0,1
423,12,1,4,958,2,4.0,2,4,3,3.0,47,3,1.0,2,3,2,0,0,1
424,21,3,3,1591,5,4.0,4,4,3,3.0,34,3,1.0,2,1,1,0,0,1
425,12,2,3,2762,1,2.0,1,1,3,2.0,25,1,1.0,1,4,1,1,0,0
426,18,2,5,2779,2,3.0,1,3,3,3.0,21,3,3.0,1,4,1,1,0,1
427,28,1,1,2743,2,2.0,4,4,3,2.0,29,3,1.0,2,4,1,0,0,1
428,18,1,1,1149,4,3.0,4,4,3,3.0,46,3,1.0,2,4,1,0,0,1
429,9,2,3,1313,2,2.0,1,4,3,4.0,20,3,1.0,1,4,1,0,0,1
430,18,1,8,1190,2,5.0,2,1,3,4.0,55,3,2.0,3,2,2,0,0,0
431,5,2,6,3448,2,4.0,1,4,3,4.0,74,3,1.0,1,3,1,0,0,1
432,24,2,9,11328,2,3.0,2,4,2,3.0,29,1,1.0,2,1,1,1,0,0
433,6,1,3,1872,2,5.0,4,4,3,4.0,36,3,2.0,3,1,1,1,0,1
434,24,1,8,2058,2,3.0,4,2,3,2.0,33,3,1.0,2,4,1,1,0,1
435,9,2,3,2136,2,3.0,3,4,3,2.0,25,3,1.0,1,4,1,0,0,1
436,12,2,1,1484,1,3.0,2,3,3,1.0,25,3,1.0,1,4,1,1,0,0
437,6,2,8,660,3,4.0,2,3,3,4.0,23,3,3.0,1,3,1,0,0,1
438,24,1,4,1287,4,2.0,4,1,3,4.0,37,3,1.0,2,4,1,1,0,1
439,42,1,8,3394,2,5.0,4,4,2,4.0,65,3,1.0,2,2,1,0,0,1
440,12,5,6,609,2,1.0,4,1,3,1.0,26,3,1.0,1,2,1,0,0,0
441,12,2,4,1884,2,2.0,4,4,3,4.0,39,3,1.0,1,1,1,1,0,1
442,12,2,3,1620,2,3.0,2,1,2,3.0,30,3,1.0,1,4,1,0,0,1
443,20,3,9,2629,2,3.0,2,4,3,3.0,29,1,1.0,2,4,1,1,0,1
444,12,2,2,719,2,2.0,4,4,3,4.0,41,1,1.0,1,3,2,0,0,0
445,48,1,3,5096,2,3.0,2,1,3,3.0,30,3,1.0,1,1,1,1,0,0
446,9,1,2,1244,1,2.0,4,1,3,4.0,41,3,3.0,2,3,1,0,0,1
447,36,2,4,1842,2,1.0,4,1,3,4.0,34,3,1.0,1,4,1,1,0,0
448,7,2,1,2576,2,3.0,2,4,4,2.0,35,3,1.0,1,4,1,0,0,1
449,12,2,3,1424,1,2.0,3,1,3,4.0,55,3,1.0,1,1,1,1,0,1
450,15,3,8,1512,4,3.0,3,3,3,3.0,61,2,1.0,2,4,1,0,0,0
451,36,1,5,11054,1,3.0,4,4,3,2.0,30,3,1.0,1,1,1,1,0,1
452,6,2,1,518,2,3.0,3,1,3,1.0,29,3,1.0,1,4,1,0,0,1
453,12,4,3,2759,2,2.0,2,4,3,4.0,34,3,1.0,2,4,1,0,0,1
454,24,2,5,2670,2,2.0,4,4,3,4.0,35,3,1.0,1,1,1,1,0,1
455,24,2,4,4817,2,4.0,2,4,2,3.0,31,3,1.0,1,4,1,1,0,0
456,24,2,5,2679,2,1.0,4,1,3,1.0,29,3,1.0,1,1,1,1,0,1
457,11,1,4,3905,2,3.0,2,4,3,2.0,36,3,3.0,2,4,2,0,0,1
458,12,2,5,3386,2,2.0,3,4,3,4.0,35,3,2.0,1,4,1,1,0,0
459,6,2,7,343,2,1.0,4,1,3,1.0,27,3,1.0,1,4,1,0,0,1
460,18,2,1,4594,2,1.0,3,4,3,2.0,32,3,1.0,1,4,1,1,0,1
461,36,2,3,3620,2,3.0,1,4,4,2.0,37,3,1.0,1,4,2,0,0,1
462,15,2,4,1721,2,1.0,2,4,3,3.0,36,3,1.0,1,4,1,0,0,1
463,12,2,3,3017,2,1.0,3,1,3,1.0,34,3,3.0,1,1,1,0,0,1
464,12,2,10,754,1,2.0,4,4,3,4.0,38,3,1.0,2,4,1,0,0,1
465,18,2,6,1950,2,4.0,4,4,3,1.0,34,2,1.0,2,4,1,1,0,1
466,24,2,5,2924,2,3.0,3,4,4,4.0,63,1,1.0,1,4,2,1,0,1
467,24,3,1,1659,2,1.0,4,1,3,2.0,29,3,3.0,1,3,1,1,0,0
468,48,3,1,7238,1,2.0,3,4,3,3.0,32,1,1.0,2,4,2,0,0,1
469,33,3,6,2764,2,3.0,2,1,3,2.0,26,3,1.0,2,4,1,1,0,1
470,24,3,5,4679,2,4.0,3,4,3,3.0,35,3,1.0,2,3,1,1,0,1
471,24,2,1,3092,5,1.0,3,3,3,2.0,22,3,3.0,1,4,1,1,0,0
472,6,2,2,448,2,1.0,4,1,3,4.0,23,3,1.0,1,4,1,0,0,0
473,9,2,4,654,2,3.0,4,4,3,3.0,28,3,1.0,1,3,1,0,0,0
475,18,1,1,1245,2,3.0,4,3,3,2.0,33,3,1.0,1,4,1,0,0,0
476,18,4,3,3114,2,1.0,1,1,3,4.0,26,3,3.0,1,4,1,0,0,0
477,39,2,5,2569,3,3.0,4,4,3,4.0,24,3,1.0,1,4,1,0,0,1
478,24,2,1,5152,2,4.0,4,4,3,2.0,25,1,1.0,1,4,1,0,0,1
479,12,2,6,1037,5,4.0,3,4,3,4.0,39,3,1.0,1,3,1,0,0,1
480,15,1,3,1478,2,2.0,4,4,3,4.0,44,3,1.0,2,4,2,1,0,1
481,12,1,1,3573,2,3.0,1,1,3,1.0,23,3,1.0,1,3,1,0,0,1
482,24,2,4,1201,2,1.0,4,4,3,1.0,26,3,1.0,1,4,1,0,0,1
483,30,2,3,3622,4,2.0,4,1,3,4.0,57,3,3.0,2,4,1,1,0,1
484,15,3,3,960,4,4.0,3,1,3,2.0,30,3,1.0,2,4,1,0,0,1
485,12,1,4,1163,3,3.0,4,4,3,4.0,44,3,1.0,1,4,1,1,0,1
486,6,3,4,1209,2,5.0,4,4,3,4.0,47,3,1.0,1,1,1,1,0,0
487,12,2,1,3077,2,3.0,2,4,3,4.0,52,3,1.0,1,4,1,1,0,1
488,24,2,4,3757,2,2.0,4,1,2,4.0,62,3,2.0,1,4,1,1,0,1
489,10,2,4,1418,5,3.0,3,4,3,2.0,35,3,3.0,1,3,1,0,1,1
490,6,2,4,3518,2,3.0,2,4,4,3.0,26,3,3.0,1,4,1,0,0,1
491,12,1,1,1934,2,2.0,2,4,3,2.0,26,3,1.0,2,4,1,0,0,1
492,27,4,6,8318,2,2.0,2,1,3,4.0,42,3,2.0,2,1,1,1,0,0
493,6,1,1,1237,5,3.0,1,1,3,1.0,27,3,1.0,2,4,1,0,0,1
494,6,2,1,368,1,2.0,4,4,3,4.0,38,3,1.0,1,4,1,0,0,1
495,12,1,4,2122,2,3.0,3,4,3,2.0,39,3,3.0,2,3,2,0,1,1
496,24,2,3,2996,1,3.0,2,3,3,4.0,20,3,1.0,1,4,1,0,0,0
497,36,2,3,9034,5,1.0,4,4,2,1.0,29,3,3.0,1,1,1,1,0,0
498,24,1,3,1585,2,4.0,4,4,3,3.0,40,3,1.0,2,4,1,0,0,1
500,6,1,4,1323,5,2.0,2,2,3,4.0,28,3,1.0,2,4,2,1,0,1
501,24,2,4,3123,2,1.0,4,1,3,1.0,27,3,1.0,1,4,1,0,0,0
502,36,2,5,5493,2,2.0,2,4,3,4.0,42,3,2.0,1,4,2,0,0,1
503,9,2,1,1126,5,2.0,2,2,3,4.0,49,3,1.0,1,4,1,0,0,1
504,24,1,1,1216,5,1.0,4,4,3,4.0,38,1,1.0,2,4,2,0,0,0
506,10,2,4,1309,1,3.0,4,4,4,4.0,27,3,1.0,1,3,1,0,0,0
507,15,1,5,2360,3,3.0,2,4,3,2.0,36,3,1.0,1,4,1,1,0,1
508,15,5,4,6850,5,5.0,1,4,3,2.0,34,3,1.0,1,1,2,1,0,0
509,24,2,1,1413,2,3.0,4,3,3,2.0,28,3,1.0,1,4,1,0,0,1
510,39,2,5,8588,5,2.0,4,4,3,2.0,45,3,1.0,1,1,1,1,0,1
511,12,2,4,759,2,4.0,4,4,3,2.0,26,3,1.0,1,4,1,0,0,0
512,36,2,5,4686,2,3.0,2,4,3,2.0,32,3,2.0,1,1,1,1,0,1
513,15,2,6,2687,2,4.0,2,4,3,4.0,26,3,3.0,1,4,1,1,0,1
514,12,3,1,585,2,3.0,4,3,3,4.0,20,3,3.0,2,4,1,0,0,1
515,24,2,4,2255,1,1.0,4,4,3,1.0,54,3,1.0,1,4,1,0,0,1
516,6,1,4,609,2,4.0,4,1,3,3.0,37,3,1.0,2,4,1,0,1,1
517,6,1,4,1361,2,1.0,2,4,3,4.0,40,3,1.0,1,3,2,0,1,1
518,36,1,3,7127,2,1.0,2,1,3,4.0,23,3,3.0,2,4,1,1,0,0
519,6,2,4,1203,5,2.0,3,4,3,2.0,43,3,1.0,1,4,1,1,0,1
520,6,1,1,700,1,2.0,4,4,3,4.0,36,3,2.0,2,4,1,0,0,1
521,24,1,8,5507,2,2.0,3,4,3,4.0,44,3,2.0,2,4,1,0,0,1
522,18,2,1,3190,2,3.0,2,1,3,2.0,24,3,1.0,1,4,1,0,0,0
523,48,4,3,7119,2,3.0,3,4,3,4.0,53,3,2.0,2,4,2,0,0,0
524,24,2,5,3488,5,4.0,3,1,3,4.0,23,3,1.0,1,4,1,0,0,1
525,18,2,1,1113,2,3.0,4,1,4,4.0,26,3,1.0,1,3,2,0,0,1
526,26,2,5,7966,2,1.0,2,4,3,3.0,30,3,1.0,2,4,1,0,0,1
527,15,1,2,1532,5,3.0,4,1,3,3.0,31,3,1.0,1,4,1,0,0,1
528,4,1,1,1503,2,4.0,2,4,3,1.0,42,3,1.0,2,3,2,0,0,1
529,36,2,1,2302,2,3.0,4,2,3,4.0,31,3,3.0,1,4,1,0,0,0
530,6,2,4,662,2,1.0,3,4,3,4.0,41,3,1.0,1,3,2,1,0,1
531,36,2,2,2273,2,4.0,3,4,3,1.0,32,3,1.0,2,4,2,0,0,1
532,15,2,4,2631,5,3.0,2,1,3,4.0,28,3,3.0,2,4,1,1,0,0
533,12,3,5,1503,2,3.0,4,3,3,4.0,41,3,3.0,1,4,1,0,0,1
534,24,2,1,1311,5,4.0,4,3,3,3.0,26,3,1.0,1,4,1,1,0,1
535,24,2,1,3105,1,1.0,4,4,3,2.0,25,3,1.0,2,4,1,0,0,1
536,21,1,2,2319,2,1.0,2,2,3,1.0,33,3,3.0,1,4,1,0,0,0
537,6,2,4,1374,1,5.0,4,1,3,3.0,75,3,1.0,1,1,1,1,0,1
538,18,1,3,3612,2,2.0,3,1,3,4.0,37,3,1.0,1,4,1,1,0,1
539,48,2,4,7763,2,2.0,4,4,3,4.0,42,1,2.0,1,1,1,0,0,0
540,18,2,3,3049,2,1.0,1,1,3,1.0,45,2,1.0,1,3,1,0,0,1
541,12,2,1,1534,2,1.0,1,3,3,1.0,23,3,3.0,1,4,1,0,0,0
542,24,3,4,2032,2,2.0,4,4,3,4.0,60,3,2.0,2,4,1,1,0,1
543,30,2,3,6350,1,2.0,4,4,3,4.0,31,3,1.0,1,4,1,0,0,0
544,18,2,3,2864,2,3.0,2,4,3,1.0,34,3,1.0,1,3,2,0,0,0
545,12,1,4,1255,2,2.0,4,4,3,4.0,61,3,1.0,2,3,1,0,0,1
546,24,3,4,1333,2,5.0,4,4,3,2.0,43,3,2.0,2,4,2,0,0,0
547,24,1,4,2022,2,3.0,4,1,3,4.0,37,3,1.0,1,4,1,1,0,1
548,24,2,1,1552,2,4.0,3,4,3,1.0,32,1,1.0,1,4,2,0,0,1
549,12,5,1,626,2,3.0,4,1,3,4.0,24,1,1.0,1,3,1,0,0,0
550,48,1,5,8858,1,4.0,2,4,3,1.0,35,3,2.0,2,4,1,1,0,1
551,12,1,8,996,1,4.0,4,1,3,4.0,23,3,1.0,2,4,1,0,0,1
552,6,5,1,1750,3,2.0,2,4,3,4.0,45,1,1.0,1,3,2,0,0,1
553,48,2,1,6999,2,4.0,1,3,4,1.0,34,3,1.0,2,4,1,1,0,0
554,12,1,4,1995,5,1.0,4,4,3,1.0,27,3,1.0,1,4,1,0,0,1
555,9,2,2,1199,2,4.0,4,1,3,4.0,67,3,1.0,2,1,1,1,0,1
556,12,2,1,1331,2,1.0,2,4,3,1.0,22,2,1.0,1,4,1,0,0,0
557,18,4,4,2278,5,1.0,3,1,3,3.0,28,3,1.0,2,4,1,0,0,0
558,21,4,4,5003,1,3.0,1,1,3,4.0,29,1,1.0,2,4,1,1,0,0
559,24,5,3,3552,2,4.0,3,4,3,4.0,27,1,1.0,1,4,1,0,0,0
560,18,1,3,1928,2,1.0,2,4,3,2.0,31,3,1.0,2,3,1,0,0,0
561,24,2,5,2964,1,2.0,4,4,3,4.0,49,1,2.0,1,4,2,1,0,1
562,24,5,1,1546,2,4.0,4,4,4,4.0,24,1,3.0,1,3,1,0,0,0
563,6,3,1,683,2,1.0,2,1,3,1.0,29,1,1.0,1,4,1,0,0,1
564,36,2,4,12389,1,3.0,1,4,3,4.0,37,3,2.0,1,4,1,1,0,0
566,24,3,1,1553,5,4.0,3,1,3,2.0,23,3,3.0,2,4,1,1,0,1
567,12,2,4,1372,2,4.0,2,2,3,3.0,36,3,1.0,1,4,1,0,0,0
568,24,1,1,2578,4,2.0,2,4,3,2.0,34,3,1.0,1,4,1,0,0,1
569,48,2,1,3979,1,4.0,4,4,3,1.0,41,3,1.0,2,4,2,1,0,1
570,48,2,1,6758,2,3.0,3,1,3,2.0,31,3,1.0,1,4,1,1,0,0
571,24,2,3,3234,2,1.0,4,1,3,4.0,23,3,3.0,1,3,1,1,0,0
572,30,1,1,5954,2,4.0,3,4,2,2.0,38,3,1.0,1,4,1,0,0,1
573,24,2,5,5433,1,5.0,2,1,3,4.0,26,3,3.0,1,1,1,1,0,1
574,15,2,6,806,2,3.0,4,1,3,4.0,22,3,1.0,1,3,1,0,0,1
575,9,2,1,1082,2,2.0,4,4,3,4.0,27,3,1.0,2,3,1,0,0,1
576,15,1,3,2788,2,4.0,2,1,2,3.0,24,1,1.0,2,4,1,0,0,1
577,12,2,1,2930,2,4.0,2,1,3,1.0,27,3,1.0,1,4,1,0,0,1
578,24,1,2,1927,1,3.0,3,1,3,2.0,33,3,1.0,2,4,1,1,0,1
579,36,1,4,2820,2,1.0,4,2,3,4.0,27,3,1.0,2,4,1,0,0,0
580,24,2,10,937,2,1.0,4,3,3,3.0,27,3,1.0,2,3,1,0,0,1
581,18,1,4,1056,2,2.0,3,4,4,3.0,30,1,1.0,2,4,1,0,0,0
582,12,1,4,3124,2,1.0,1,4,3,3.0,49,1,1.0,2,3,2,0,0,1
583,9,2,3,1388,2,3.0,4,1,3,2.0,26,3,3.0,1,4,1,0,0,1
584,36,2,8,2384,2,1.0,4,4,3,1.0,33,3,3.0,1,3,1,0,0,0
585,12,2,4,2133,1,2.0,4,1,3,4.0,52,3,2.0,1,1,1,1,0,1
586,18,2,3,2039,2,3.0,1,1,3,4.0,20,1,3.0,1,4,1,0,0,0
587,9,1,4,2799,2,3.0,2,4,3,2.0,36,3,3.0,2,4,2,0,0,1
588,12,2,3,1289,2,3.0,4,4,4,1.0,21,3,1.0,1,3,1,0,0,1
589,18,2,7,1217,2,3.0,4,3,3,3.0,47,3,1.0,1,3,1,1,0,0
590,12,1,3,2246,2,2.0,3,4,3,3.0,60,3,1.0,2,4,1,0,0,0
591,12,1,1,385,2,4.0,4,1,3,3.0,58,3,1.0,4,3,1,1,0,1
592,24,3,4,1965,1,3.0,4,1,3,4.0,42,3,3.0,2,4,1,1,0,1
593,21,2,6,1572,4,2.0,4,1,3,4.0,36,1,1.0,1,3,1,0,0,1
594,24,2,4,2718,2,3.0,3,1,3,4.0,20,3,3.0,1,3,1,1,0,0
595,24,5,9,1358,1,2.0,4,4,3,3.0,40,2,1.0,1,1,1,1,0,0
596,6,5,4,931,5,1.0,1,1,3,1.0,32,2,1.0,1,3,1,0,0,0
597,24,2,4,1442,2,4.0,4,1,3,4.0,23,3,3.0,2,4,1,0,0,0
598,24,4,6,4241,2,3.0,1,4,3,4.0,36,3,1.0,3,3,1,1,0,0
599,18,1,4,2775,2,4.0,2,4,3,2.0,31,1,1.0,2,4,1,0,0,0
600,24,3,6,3863,2,3.0,1,4,3,2.0,32,3,2.0,1,4,1,0,0,1
601,7,2,1,2329,2,1.0,1,1,4,1.0,45,3,1.0,1,4,1,0,0,1
602,9,2,3,918,2,3.0,4,1,3,1.0,30,3,1.0,1,4,1,0,0,0
603,24,5,2,1837,2,4.0,4,1,3,4.0,34,1,2.0,1,3,1,0,0,0
604,36,2,3,3349,2,3.0,4,1,3,2.0,28,3,1.0,1,1,1,1,0,0
605,10,2,3,1275,2,1.0,4,1,3,2.0,23,3,1.0,1,4,1,0,0,1
