,idcredito,duracao,historicocredito,proposito,valor,investimentos,emprego,tempoparcelamento,estadocivil,fiadorterceiros,residenciadesde,idade,outrosfinanciamentos,habitacao,emprestimoexistente,profissao,dependentes,socioempresa,estrangeiro,status
281,291,1,2,6,1076,2,3.0,2,3,3,2.0,1,3,1.0,1,4,1,1,1,1
282,292,2,2,5,9398,2,1.0,1,3,3,4.0,1,3,3.0,1,1,1,1,0,0
283,293,2,1,5,6419,2,2.0,2,1,3,4.0,2,3,2.0,2,1,2,1,0,1
284,294,3,1,5,4796,2,2.0,4,4,3,4.0,3,3,2.0,1,4,1,0,0,1
285,295,3,1,6,7629,1,2.0,4,2,3,2.0,2,1,1.0,2,1,2,0,0,1
286,296,3,2,3,9960,2,1.0,1,1,3,2.0,1,3,1.0,1,4,1,1,0,0
287,297,1,2,5,4675,1,1.0,1,1,3,4.0,1,3,3.0,1,4,1,0,0,1
288,298,1,2,4,1287,1,2.0,4,4,2,2.0,2,3,1.0,1,3,1,0,1,1
289,299,1,2,3,2515,2,3.0,3,4,3,4.0,2,3,1.0,1,4,1,1,0,1
290,300,1,1,3,2745,4,4.0,3,4,3,2.0,1,3,1.0,2,4,1,1,0,1
291,301,1,2,4,672,2,5.0,1,1,3,4.0,3,3,1.0,1,2,1,1,0,1
292,302,2,4,1,3804,2,3.0,4,1,3,1.0,2,3,1.0,1,4,1,1,0,0
293,303,2,1,4,1344,1,4.0,4,4,3,2.0,2,1,1.0,2,3,2,0,0,0
294,304,1,1,4,1038,2,4.0,4,4,2,3.0,3,3,1.0,2,4,1,1,0,1
295,305,3,1,4,10127,3,3.0,2,4,3,2.0,2,1,2.0,1,4,1,0,0,0
296,306,1,2,3,1543,4,3.0,4,2,3,2.0,1,3,1.0,1,4,1,0,0,1
297,307,2,2,5,4811,1,4.0,2,1,3,4.0,1,2,3.0,1,3,1,0,0,1
298,308,1,2,1,727,5,1.0,4,3,3,3.0,1,3,1.0,1,3,1,1,0,0
299,309,1,2,3,1237,2,3.0,3,1,3,4.0,1,3,1.0,1,4,1,0,0,0
300,310,1,2,4,276,2,3.0,4,3,3,4.0,1,3,3.0,1,3,1,0,0,1
301,311,3,2,9,5381,1,5.0,3,4,3,4.0,2,1,2.0,1,2,1,1,0,1
302,312,2,2,3,5511,5,3.0,4,4,3,1.0,1,2,1.0,1,4,1,0,0,1
303,313,2,2,3,3749,2,1.0,2,1,3,4.0,1,3,1.0,1,4,1,0,0,1
304,314,1,2,4,685,2,4.0,2,3,3,3.0,1,1,1.0,1,3,1,0,0,0
305,315,1,2,4,1494,1,1.0,1,4,3,2.0,1,3,1.0,1,3,2,0,1,1
306,316,2,5,3,2746,2,2.0,4,4,3,4.0,1,1,1.0,1,4,1,0,0,0
307,317,1,2,3,708,2,3.0,2,4,4,3.0,2,3,1.0,1,3,2,0,0,1
308,318,2,2,3,4351,1,3.0,1,1,3,4.0,3,3,1.0,1,3,1,1,0,1
309,319,1,1,2,701,2,3.0,4,4,3,2.0,1,3,1.0,2,4,1,0,0,1
310,320,1,3,3,3643,2,2.0,1,1,3,4.0,1,3,1.0,2,3,1,0,0,1
311,321,2,1,4,4249,2,5.0,4,3,3,2.0,1,3,1.0,2,1,1,0,0,0
312,322,2,2,1,1938,2,1.0,4,2,3,3.0,1,3,1.0,1,4,1,0,0,0
313,323,2,2,5,2910,2,4.0,2,4,3,1.0,2,3,2.0,1,1,1,1,0,1
314,324,1,2,3,2659,4,3.0,4,4,3,2.0,1,3,1.0,1,4,1,0,0,1
315,325,1,1,4,1028,2,3.0,4,1,3,3.0,2,3,1.0,2,4,1,0,0,1
316,326,1,1,4,3398,2,4.0,1,4,3,4.0,2,3,1.0,2,3,1,0,1,1
317,327,1,1,3,5801,1,2.0,2,4,3,4.0,3,3,3.0,1,4,1,1,0,1
318,328,2,2,4,1525,4,4.0,4,1,3,3.0,2,3,1.0,1,4,2,1,0,1
319,329,2,2,1,4473,2,2.0,4,4,3,2.0,1,3,1.0,1,4,1,0,0,1
320,330,1,2,1,1068,2,2.0,4,4,3,4.0,1,3,1.0,1,4,2,0,0,1
321,331,2,1,5,6615,2,5.0,2,4,3,4.0,4,3,2.0,2,1,1,1,0,1
322,332,1,1,2,1864,5,3.0,4,1,3,2.0,1,3,1.0,2,4,1,0,0,0
323,333,4,2,4,7408,5,1.0,4,1,3,2.0,1,3,1.0,1,1,1,0,0,0
324,334,3,1,5,11590,5,3.0,2,1,3,4.0,1,1,3.0,2,3,1,0,0,0
325,335,2,4,3,4110,2,2.0,3,4,3,4.0,1,1,3.0,2,4,2,0,0,0
326,336,1,1,3,3384,2,3.0,1,2,3,4.0,2,3,3.0,1,1,1,1,0,0
327,337,1,2,1,2101,2,1.0,2,1,4,4.0,1,3,1.0,1,3,1,0,0,1
328,338,1,2,7,1275,1,3.0,4,1,3,2.0,1,3,3.0,1,4,1,0,0,0
329,339,2,2,3,4169,2,3.0,4,4,3,4.0,1,3,1.0,1,4,1,0,0,1
330,340,1,2,3,1521,2,3.0,4,2,3,2.0,1,3,1.0,1,3,1,0,0,1
331,341,2,1,2,5743,2,1.0,2,1,3,4.0,1,3,2.0,2,4,1,1,0,1
332,342,1,2,3,3599,2,4.0,1,1,3,4.0,1,3,3.0,1,3,1,0,0,1
333,343,1,2,1,3213,3,1.0,1,3,3,3.0,1,3,3.0,1,4,1,0,0,1
334,344,1,2,6,4439,2,2.0,1,4,2,1.0,1,1,1.0,1,1,1,1,0,1
335,345,1,2,4,3949,2,1.0,1,4,4,1.0,2,3,1.0,1,3,2,0,0,1
336,346,1,1,1,1459,2,3.0,4,1,3,2.0,2,3,1.0,1,3,1,0,0,1
337,347,1,1,1,882,2,1.0,4,4,4,4.0,1,3,1.0,2,4,1,0,0,1
338,348,2,2,1,3758,3,5.0,1,1,3,4.0,1,3,3.0,1,2,1,0,0,1
339,349,1,3,6,1743,5,3.0,1,4,3,2.0,2,3,1.0,2,3,1,0,0,1
340,351,1,2,7,1236,2,1.0,1,1,3,4.0,1,3,3.0,1,4,1,1,0,1
341,352,1,2,3,959,2,3.0,1,1,3,2.0,1,3,1.0,1,4,1,0,1,0
342,353,1,1,5,3229,1,5.0,2,4,3,4.0,2,3,1.0,1,1,1,1,0,1
343,354,1,4,1,6199,2,3.0,4,4,3,2.0,1,3,3.0,2,4,1,1,0,0
344,355,1,2,2,727,3,2.0,4,4,3,4.0,2,3,2.0,1,4,1,1,0,1
345,357,1,1,1,2331,1,2.0,1,4,2,4.0,3,3,1.0,1,4,1,1,0,1
346,358,2,3,1,4463,2,3.0,4,4,3,2.0,1,3,1.0,2,1,1,1,0,0
347,359,1,2,1,776,2,3.0,4,3,3,2.0,1,3,1.0,1,4,1,0,0,1
348,360,2,2,3,2406,2,4.0,4,1,3,4.0,1,3,3.0,1,4,1,0,0,0
349,361,1,2,2,1239,1,3.0,4,4,3,4.0,3,3,2.0,1,4,1,0,0,1
350,362,1,2,1,3399,1,2.0,2,4,3,3.0,2,3,1.0,1,1,1,0,0,1
351,363,1,3,4,2247,2,3.0,2,1,3,2.0,2,2,1.0,2,4,1,1,0,1
352,364,1,2,3,1766,2,3.0,1,3,3,2.0,1,3,3.0,1,4,1,0,0,1
353,365,1,2,3,2473,2,5.0,4,4,3,1.0,1,3,1.0,1,2,1,0,0,0
354,366,1,2,6,1542,2,4.0,2,4,3,4.0,2,3,1.0,1,4,1,1,0,1
355,367,1,1,5,3850,2,4.0,3,4,3,1.0,1,3,1.0,2,4,1,0,0,1
356,368,1,2,3,3650,2,1.0,1,1,3,4.0,1,3,3.0,1,4,1,0,0,1
357,369,2,2,3,3446,2,2.0,4,4,3,2.0,2,3,1.0,1,4,2,0,0,0
358,370,1,2,3,3001,2,4.0,2,1,3,4.0,2,3,3.0,1,4,1,0,0,1
359,371,2,2,4,3079,1,3.0,4,4,3,4.0,2,3,1.0,1,4,1,0,0,1
360,372,1,1,1,6070,2,2.0,3,4,3,4.0,1,3,1.0,2,4,1,1,0,1
361,373,1,1,3,2146,2,1.0,1,1,3,3.0,1,3,3.0,2,4,1,0,0,1
362,374,4,1,4,13756,1,2.0,2,4,3,4.0,4,1,2.0,1,1,1,1,0,1
363,375,4,5,9,14782,5,2.0,3,1,3,4.0,3,1,2.0,2,1,1,1,0,0
364,376,3,5,6,7685,2,4.0,2,1,4,4.0,2,3,3.0,1,4,1,0,0,0
365,377,1,3,1,2320,2,5.0,2,3,3,3.0,2,3,1.0,2,4,1,0,0,1
366,378,1,3,1,846,1,2.0,3,4,3,4.0,2,3,2.0,1,4,1,0,0,1
367,379,2,2,4,14318,2,2.0,4,4,3,2.0,3,3,2.0,1,1,1,1,0,0
368,380,1,1,4,362,5,3.0,4,1,3,4.0,3,3,1.0,2,3,1,0,0,1
369,381,1,2,3,2212,1,4.0,4,4,3,4.0,2,3,1.0,1,4,1,1,0,1
370,382,1,2,5,12976,2,5.0,3,1,3,4.0,2,3,2.0,1,1,1,1,0,0
371,383,2,2,4,1283,1,4.0,4,1,3,4.0,1,3,3.0,1,4,1,0,0,1
372,384,1,2,4,1330,2,1.0,4,4,3,1.0,1,3,1.0,1,4,1,0,0,1
373,385,2,3,6,4272,5,3.0,2,4,3,2.0,1,3,1.0,2,3,1,0,0,1
374,386,1,1,1,2238,2,3.0,2,1,3,1.0,1,3,1.0,2,4,1,0,0,1
375,387,1,2,1,1126,1,1.0,4,1,3,2.0,1,3,3.0,1,4,1,1,0,1
376,388,1,1,3,7374,2,5.0,4,4,3,4.0,2,2,1.0,2,1,1,1,0,1
377,389,1,1,6,2326,3,3.0,2,4,3,4.0,1,1,1.0,1,4,1,0,0,1
378,390,1,2,6,1449,2,4.0,3,1,3,2.0,1,3,1.0,2,4,1,0,0,1
379,391,1,2,4,1820,2,3.0,2,3,3,2.0,1,3,1.0,1,1,1,1,0,1
380,392,1,2,3,983,4,1.0,1,1,3,4.0,1,3,3.0,1,3,1,0,0,1
381,393,2,2,4,3249,2,4.0,2,4,3,4.0,2,1,2.0,1,1,2,1,0,1
382,394,1,1,1,1957,2,4.0,1,1,3,4.0,1,3,1.0,1,4,1,0,0,1
383,397,1,2,3,2578,2,5.0,3,1,3,4.0,3,3,2.0,1,1,1,0,0,1
384,398,2,1,3,2348,2,3.0,3,3,3,2.0,2,3,1.0,2,4,1,1,0,1
385,399,1,2,4,1223,2,2.0,1,2,3,1.0,2,3,3.0,2,4,1,0,0,0
386,400,2,1,1,1516,4,3.0,4,1,3,1.0,2,3,1.0,2,3,1,0,0,1
387,401,1,2,1,1473,2,1.0,3,3,3,4.0,2,3,1.0,1,4,1,1,0,1
388,402,1,1,6,1887,1,3.0,4,3,3,4.0,1,1,1.0,2,4,1,0,0,1
389,403,2,3,6,8648,2,1.0,2,4,3,2.0,1,1,1.0,2,4,1,1,0,0
390,404,1,3,4,802,2,3.0,4,4,3,2.0,1,3,1.0,2,3,1,0,0,1
391,405,1,3,4,2899,1,2.0,4,4,3,4.0,2,3,1.0,1,4,2,0,0,1
392,406,2,2,1,2039,2,1.0,1,3,3,1.0,1,3,1.0,1,4,1,1,0,0
393,407,2,1,5,2197,1,4.0,4,4,3,4.0,2,3,1.0,2,4,2,1,0,1
394,408,1,2,1,1053,2,1.0,4,3,3,2.0,1,3,1.0,1,4,1,0,1,1
395,409,2,2,1,3235,3,2.0,3,2,3,2.0,1,3,1.0,1,1,1,1,0,1
396,410,1,1,4,939,3,4.0,4,3,3,2.0,1,3,1.0,3,4,1,1,0,0
397,411,2,2,1,1967,2,2.0,4,1,3,4.0,1,3,1.0,1,4,1,1,0,1
398,413,1,1,6,2292,2,5.0,4,4,3,2.0,2,2,1.0,2,1,1,1,0,0
399,414,1,2,4,1597,3,3.0,3,4,3,2.0,2,3,3.0,1,3,2,0,1,1
400,415,2,2,4,1381,1,3.0,4,1,3,2.0,2,3,1.0,1,4,1,0,0,0
401,416,2,1,5,5842,2,2.0,2,4,3,2.0,2,3,1.0,2,4,2,1,0,1
402,417,1,2,4,2579,2,1.0,4,4,3,1.0,1,3,1.0,1,3,2,0,0,0
403,418,1,3,2,8471,1,3.0,1,1,3,2.0,1,3,3.0,2,4,1,1,0,1
404,419,1,2,4,2782,3,4.0,1,1,3,2.0,1,1,1.0,1,1,1,0,0,1
405,420,1,2,4,1042,1,3.0,4,1,3,2.0,1,3,1.0,1,4,1,0,0,0
406,395,1,2,3,2406,2,5.0,2,4,3,3.0,1,3,1.0,1,1,1,0,0,1
407,412,2,1,5,7253,2,4.0,3,4,3,2.0,2,3,1.0,2,4,1,1,0,1
408,421,1,2,4,3186,4,4.0,2,1,3,3.0,1,3,3.0,1,4,1,0,0,1
409,422,1,2,5,2028,1,3.0,4,4,3,2.0,1,3,1.0,1,4,1,0,0,1
410,423,1,1,4,958,2,4.0,2,4,3,3.0,2,3,1.0,2,3,2,0,0,1
411,424,1,3,3,1591,5,4.0,4,4,3,3.0,2,3,1.0,2,1,1,0,0,1
412,425,1,2,3,2762,1,2.0,1,1,3,2.0,1,1,1.0,1,4,1,1,0,0
413,426,1,2,5,2779,2,3.0,1,3,3,3.0,1,3,3.0,1,4,1,1,0,1
414,427,2,1,1,2743,2,2.0,4,4,3,2.0,1,3,1.0,2,4,1,0,0,1
415,428,1,1,1,1149,4,3.0,4,4,3,3.0,2,3,1.0,2,4,1,0,0,1
416,429,1,2,3,1313,2,2.0,1,4,3,4.0,1,3,1.0,1,4,1,0,0,1
417,430,1,1,8,1190,2,5.0,2,1,3,4.0,3,3,2.0,3,2,2,0,0,0
418,431,1,2,6,3448,2,4.0,1,4,3,4.0,4,3,1.0,1,3,1,0,0,1
419,432,2,2,9,11328,2,3.0,2,4,2,3.0,1,1,1.0,2,1,1,1,0,0
420,433,1,1,3,1872,2,5.0,4,4,3,4.0,2,3,2.0,3,1,1,1,0,1
421,434,2,1,8,2058,2,3.0,4,2,3,2.0,1,3,1.0,2,4,1,1,0,1
422,435,1,2,3,2136,2,3.0,3,4,3,2.0,1,3,1.0,1,4,1,0,0,1
423,436,1,2,1,1484,1,3.0,2,3,3,1.0,1,3,1.0,1,4,1,1,0,0
424,437,1,2,8,660,3,4.0,2,3,3,4.0,1,3,3.0,1,3,1,0,0,1
425,438,2,1,4,1287,4,2.0,4,1,3,4.0,2,3,1.0,2,4,1,1,0,1
426,439,3,1,8,3394,2,5.0,4,4,2,4.0,4,3,1.0,2,2,1,0,0,1
427,440,1,5,6,609,2,1.0,4,1,3,1.0,1,3,1.0,1,2,1,0,0,0
428,441,1,2,4,1884,2,2.0,4,4,3,4.0,2,3,1.0,1,1,1,1,0,1
429,442,1,2,3,1620,2,3.0,2,1,2,3.0,1,3,1.0,1,4,1,0,0,1
430,443,1,3,9,2629,2,3.0,2,4,3,3.0,1,1,1.0,2,4,1,1,0,1
431,444,1,2,2,719,2,2.0,4,4,3,4.0,2,1,1.0,1,3,2,0,0,0
432,445,3,1,3,5096,2,3.0,2,1,3,3.0,1,3,1.0,1,1,1,1,0,0
433,446,1,1,2,1244,1,2.0,4,1,3,4.0,2,3,3.0,2,3,1,0,0,1
434,447,2,2,4,1842,2,1.0,4,1,3,4.0,2,3,1.0,1,4,1,1,0,0
435,448,1,2,1,2576,2,3.0,2,4,4,2.0,2,3,1.0,1,4,1,0,0,1
436,449,1,2,3,1424,1,2.0,3,1,3,4.0,3,3,1.0,1,1,1,1,0,1
437,450,1,3,8,1512,4,3.0,3,3,3,3.0,3,2,1.0,2,4,1,0,0,0
438,451,2,1,5,11054,1,3.0,4,4,3,2.0,1,3,1.0,1,1,1,1,0,1
439,452,1,2,1,518,2,3.0,3,1,3,1.0,1,3,1.0,1,4,1,0,0,1
440,453,1,4,3,2759,2,2.0,2,4,3,4.0,2,3,1.0,2,4,1,0,0,1
441,454,2,2,5,2670,2,2.0,4,4,3,4.0,2,3,1.0,1,1,1,1,0,1
442,455,2,2,4,4817,2,4.0,2,4,2,3.0,1,3,1.0,1,4,1,1,0,0
443,456,2,2,5,2679,2,1.0,4,1,3,1.0,1,3,1.0,1,1,1,1,0,1
444,457,1,1,4,3905,2,3.0,2,4,3,2.0,2,3,3.0,2,4,2,0,0,1
445,458,1,2,5,3386,2,2.0,3,4,3,4.0,2,3,2.0,1,4,1,1,0,0
446,459,1,2,7,343,2,1.0,4,1,3,1.0,1,3,1.0,1,4,1,0,0,1
447,460,1,2,1,4594,2,1.0,3,4,3,2.0,1,3,1.0,1,4,1,1,0,1
448,461,2,2,3,3620,2,3.0,1,4,4,2.0,2,3,1.0,1,4,2,0,0,1
449,462,1,2,4,1721,2,1.0,2,4,3,3.0,2,3,1.0,1,4,1,0,0,1
450,463,1,2,3,3017,2,1.0,3,1,3,1.0,2,3,3.0,1,1,1,0,0,1
451,464,1,2,10,754,1,2.0,4,4,3,4.0,2,3,1.0,2,4,1,0,0,1
452,465,1,2,6,1950,2,4.0,4,4,3,1.0,2,2,1.0,2,4,1,1,0,1
453,466,2,2,5,2924,2,3.0,3,4,4,4.0,4,1,1.0,1,4,2,1,0,1
454,467,2,3,1,1659,2,1.0,4,1,3,2.0,1,3,3.0,1,3,1,1,0,0
455,468,3,3,1,7238,1,2.0,3,4,3,3.0,1,1,1.0,2,4,2,0,0,1
456,469,2,3,6,2764,2,3.0,2,1,3,2.0,1,3,1.0,2,4,1,1,0,1
457,470,2,3,5,4679,2,4.0,3,4,3,3.0,2,3,1.0,2,3,1,1,0,1
458,471,2,2,1,3092,5,1.0,3,3,3,2.0,1,3,3.0,1,4,1,1,0,0
459,472,1,2,2,448,2,1.0,4,1,3,4.0,1,3,1.0,1,4,1,0,0,0
460,473,1,2,4,654,2,3.0,4,4,3,3.0,1,3,1.0,1,3,1,0,0,0
461,475,1,1,1,1245,2,3.0,4,3,3,2.0,1,3,1.0,1,4,1,0,0,0
462,476,1,4,3,3114,2,1.0,1,1,3,4.0,1,3,3.0,1,4,1,0,0,0
463,477,3,2,5,2569,3,3.0,4,4,3,4.0,1,3,1.0,1,4,1,0,0,1
464,478,2,2,1,5152,2,4.0,4,4,3,2.0,1,1,1.0,1,4,1,0,0,1
465,479,1,2,6,1037,5,4.0,3,4,3,4.0,2,3,1.0,1,3,1,0,0,1
466,480,1,1,3,1478,2,2.0,4,4,3,4.0,2,3,1.0,2,4,2,1,0,1
467,481,1,1,1,3573,2,3.0,1,1,3,1.0,1,3,1.0,1,3,1,0,0,1
468,482,2,2,4,1201,2,1.0,4,4,3,1.0,1,3,1.0,1,4,1,0,0,1
469,483,2,2,3,3622,4,2.0,4,1,3,4.0,3,3,3.0,2,4,1,1,0,1
470,484,1,3,3,960,4,4.0,3,1,3,2.0,1,3,1.0,2,4,1,0,0,1
471,485,1,1,4,1163,3,3.0,4,4,3,4.0,2,3,1.0,1,4,1,1,0,1
472,486,1,3,4,1209,2,5.0,4,4,3,4.0,2,3,1.0,1,1,1,1,0,0
473,487,1,2,1,3077,2,3.0,2,4,3,4.0,3,3,1.0,1,4,1,1,0,1
474,488,2,2,4,3757,2,2.0,4,1,2,4.0,4,3,2.0,1,4,1,1,0,1
475,489,1,2,4,1418,5,3.0,3,4,3,2.0,2,3,3.0,1,3,1,0,1,1
476,490,1,2,4,3518,2,3.0,2,4,4,3.0,1,3,3.0,1,4,1,0,0,1
477,491,1,1,1,1934,2,2.0,2,4,3,2.0,1,3,1.0,2,4,1,0,0,1
478,492,2,4,6,8318,2,2.0,2,1,3,4.0,2,3,2.0,2,1,1,1,0,0
479,493,1,1,1,1237,5,3.0,1,1,3,1.0,1,3,1.0,2,4,1,0,0,1
480,494,1,2,1,368,1,2.0,4,4,3,4.0,2,3,1.0,1,4,1,0,0,1
481,495,1,1,4,2122,2,3.0,3,4,3,2.0,2,3,3.0,2,3,2,0,1,1
482,496,2,2,3,2996,1,3.0,2,3,3,4.0,1,3,1.0,1,4,1,0,0,0
483,497,2,2,3,9034,5,1.0,4,4,2,1.0,1,3,3.0,1,1,1,1,0,0
484,498,2,1,3,1585,2,4.0,4,4,3,3.0,2,3,1.0,2,4,1,0,0,1
485,500,1,1,4,1323,5,2.0,2,2,3,4.0,1,3,1.0,2,4,2,1,0,1
486,501,2,2,4,3123,2,1.0,4,1,3,1.0,1,3,1.0,1,4,1,0,0,0
487,502,2,2,5,5493,2,2.0,2,4,3,4.0,2,3,2.0,1,4,2,0,0,1
488,503,1,2,1,1126,5,2.0,2,2,3,4.0,3,3,1.0,1,4,1,0,0,1
489,504,2,1,1,1216,5,1.0,4,4,3,4.0,2,1,1.0,2,4,2,0,0,0
490,506,1,2,4,1309,1,3.0,4,4,4,4.0,1,3,1.0,1,3,1,0,0,0
491,507,1,1,5,2360,3,3.0,2,4,3,2.0,2,3,1.0,1,4,1,1,0,1
492,508,1,5,4,6850,5,5.0,1,4,3,2.0,2,3,1.0,1,1,2,1,0,0
493,509,2,2,1,1413,2,3.0,4,3,3,2.0,1,3,1.0,1,4,1,0,0,1
494,510,3,2,5,8588,5,2.0,4,4,3,2.0,2,3,1.0,1,1,1,1,0,1
495,511,1,2,4,759,2,4.0,4,4,3,2.0,1,3,1.0,1,4,1,0,0,0
496,512,2,2,5,4686,2,3.0,2,4,3,2.0,1,3,2.0,1,1,1,1,0,1
497,513,1,2,6,2687,2,4.0,2,4,3,4.0,1,3,3.0,1,4,1,1,0,1
498,514,1,3,1,585,2,3.0,4,3,3,4.0,1,3,3.0,2,4,1,0,0,1
499,515,2,2,4,2255,1,1.0,4,4,3,1.0,3,3,1.0,1,4,1,0,0,1
500,516,1,1,4,609,2,4.0,4,1,3,3.0,2,3,1.0,2,4,1,0,1,1
501,517,1,1,4,1361,2,1.0,2,4,3,4.0,2,3,1.0,1,3,2,0,1,1
502,518,2,1,3,7127,2,1.0,2,1,3,4.0,1,3,3.0,2,4,1,1,0,0
503,519,1,2,4,1203,5,2.0,3,4,3,2.0,2,3,1.0,1,4,1,1,0,1
504,520,1,1,1,700,1,2.0,4,4,3,4.0,2,3,2.0,2,4,1,0,0,1
505,521,2,1,8,5507,2,2.0,3,4,3,4.0,2,3,2.0,2,4,1,0,0,1
506,522,1,2,1,3190,2,3.0,2,1,3,2.0,1,3,1.0,1,4,1,0,0,0
507,523,3,4,3,7119,2,3.0,3,4,3,4.0,3,3,2.0,2,4,2,0,0,0
508,524,2,2,5,3488,5,4.0,3,1,3,4.0,1,3,1.0,1,4,1,0,0,1
509,525,1,2,1,1113,2,3.0,4,1,4,4.0,1,3,1.0,1,3,2,0,0,1
510,526,2,2,5,7966,2,1.0,2,4,3,3.0,1,3,1.0,2,4,1,0,0,1
511,527,1,1,2,1532,5,3.0,4,1,3,3.0,1,3,1.0,1,4,1,0,0,1
512,528,1,1,1,1503,2,4.0,2,4,3,1.0,2,3,1.0,2,3,2,0,0,1
513,529,2,2,1,2302,2,3.0,4,2,3,4.0,1,3,3.0,1,4,1,0,0,0
514,530,1,2,4,662,2,1.0,3,4,3,4.0,2,3,1.0,1,3,2,1,0,1
515,531,2,2,2,2273,2,4.0,3,4,3,1.0,1,3,1.0,2,4,2,0,0,1
516,532,1,2,4,2631,5,3.0,2,1,3,4.0,1,3,3.0,2,4,1,1,0,0
517,533,1,3,5,1503,2,3.0,4,3,3,4.0,2,3,3.0,1,4,1,0,0,1
518,534,2,2,1,1311,5,4.0,4,3,3,3.0,1,3,1.0,1,4,1,1,0,1
519,535,2,2,1,3105,1,1.0,4,4,3,2.0,1,3,1.0,2,4,1,0,0,1
520,536,1,1,2,2319,2,1.0,2,2,3,1.0,1,3,3.0,1,4,1,0,0,0
521,537,1,2,4,1374,1,5.0,4,1,3,3.0,4,3,1.0,1,1,1,1,0,1
522,538,1,1,3,3612,2,2.0,3,1,3,4.0,2,3,1.0,1,4,1,1,0,1
523,539,3,2,4,7763,2,2.0,4,4,3,4.0,2,1,2.0,1,1,1,0,0,0
524,540,1,2,3,3049,2,1.0,1,1,3,1.0,2,2,1.0,1,3,1,0,0,1
525,541,1,2,1,1534,2,1.0,1,3,3,1.0,1,3,3.0,1,4,1,0,0,0
526,542,2,3,4,2032,2,2.0,4,4,3,4.0,3,3,2.0,2,4,1,1,0,1
527,543,2,2,3,6350,1,2.0,4,4,3,4.0,1,3,1.0,1,4,1,0,0,0
528,544,1,2,3,2864,2,3.0,2,4,3,1.0,2,3,1.0,1,3,2,0,0,0
529,545,1,1,4,1255,2,2.0,4,4,3,4.0,3,3,1.0,2,3,1,0,0,1
530,546,2,3,4,1333,2,5.0,4,4,3,2.0,2,3,2.0,2,4,2,0,0,0
531,547,2,1,4,2022,2,3.0,4,1,3,4.0,2,3,1.0,1,4,1,1,0,1
532,548,2,2,1,1552,2,4.0,3,4,3,1.0,1,1,1.0,1,4,2,0,0,1
533,549,1,5,1,626,2,3.0,4,1,3,4.0,1,1,1.0,1,3,1,0,0,0
534,550,3,1,5,8858,1,4.0,2,4,3,1.0,2,3,2.0,2,4,1,1,0,1
535,551,1,1,8,996,1,4.0,4,1,3,4.0,1,3,1.0,2,4,1,0,0,1
536,552,1,5,1,1750,3,2.0,2,4,3,4.0,2,1,1.0,1,3,2,0,0,1
537,553,3,2,1,6999,2,4.0,1,3,4,1.0,2,3,1.0,2,4,1,1,0,0
538,554,1,1,4,1995,5,1.0,4,4,3,1.0,1,3,1.0,1,4,1,0,0,1
539,555,1,2,2,1199,2,4.0,4,1,3,4.0,4,3,1.0,2,1,1,1,0,1
540,556,1,2,1,1331,2,1.0,2,4,3,1.0,1,2,1.0,1,4,1,0,0,0
541,557,1,4,4,2278,5,1.0,3,1,3,3.0,1,3,1.0,2,4,1,0,0,0
542,558,1,4,4,5003,1,3.0,1,1,3,4.0,1,1,1.0,2,4,1,1,0,0
543,559,2,5,3,3552,2,4.0,3,4,3,4.0,1,1,1.0,1,4,1,0,0,0
544,560,1,1,3,1928,2,1.0,2,4,3,2.0,1,3,1.0,2,3,1,0,0,0
545,561,2,2,5,2964,1,2.0,4,4,3,4.0,3,1,2.0,1,4,2,1,0,1
546,562,2,5,1,1546,2,4.0,4,4,4,4.0,1,1,3.0,1,3,1,0,0,0
547,563,1,3,1,683,2,1.0,2,1,3,1.0,1,1,1.0,1,4,1,0,0,1
548,564,2,2,4,12389,1,3.0,1,4,3,4.0,2,3,2.0,1,4,1,1,0,0
549,566,2,3,1,1553,5,4.0,3,1,3,2.0,1,3,3.0,2,4,1,1,0,1
550,567,1,2,4,1372,2,4.0,2,2,3,3.0,2,3,1.0,1,4,1,0,0,0
551,568,2,1,1,2578,4,2.0,2,4,3,2.0,2,3,1.0,1,4,1,0,0,1
552,569,3,2,1,3979,1,4.0,4,4,3,1.0,2,3,1.0,2,4,2,1,0,1
553,570,3,2,1,6758,2,3.0,3,1,3,2.0,1,3,1.0,1,4,1,1,0,0
554,571,2,2,3,3234,2,1.0,4,1,3,4.0,1,3,3.0,1,3,1,1,0,0
555,572,2,1,1,5954,2,4.0,3,4,2,2.0,2,3,1.0,1,4,1,0,0,1
556,573,2,2,5,5433,1,5.0,2,1,3,4.0,1,3,3.0,1,1,1,1,0,1
557,574,1,2,6,806,2,3.0,4,1,3,4.0,1,3,1.0,1,3,1,0,0,1
558,575,1,2,1,1082,2,2.0,4,4,3,4.0,1,3,1.0,2,3,1,0,0,1
559,576,1,1,3,2788,2,4.0,2,1,2,3.0,1,1,1.0,2,4,1,0,0,1
560,577,1,2,1,2930,2,4.0,2,1,3,1.0,1,3,1.0,1,4,1,0,0,1
561,578,2,1,2,1927,1,3.0,3,1,3,2.0,1,3,1.0,2,4,1,1,0,1
562,579,2,1,4,2820,2,1.0,4,2,3,4.0,1,3,1.0,2,4,1,0,0,0
563,580,2,2,10,937,2,1.0,4,3,3,3.0,1,3,1.0,2,3,1,0,0,1
564,581,1,1,4,1056,2,2.0,3,4,4,3.0,1,1,1.0,2,4,1,0,0,0
