,duracao,historicocredito,proposito,valor,investimentos,emprego,tempoparcelamento,estadocivil,fiadorterceiros,residenciadesde,idade,outrosfinanciamentos,habitacao,emprestimoexistente,profissao,dependentes,socioempresa,estrangeiro,status
260,1,2,4,0.9999916035560421,1,4.0,4,4,3,3.0,1,3,1.0,1,4,1,0,1,1
261,1,1,3,0.9999712568940472,3,4.0,3,1,3,4.0,2,3,3.0,1,4,1,1,0,1
262,3,5,4,0.9999994935330022,1,5.0,4,4,2,4.0,2,3,2.0,1,1,1,1,0,1
263,3,2,1,0.9999934320780351,2,4.0,4,4,3,4.0,1,3,1.0,2,4,1,0,0,0
264,2,2,8,0.9999995901414216,2,1.0,1,2,3,1.0,2,3,1.0,1,3,1,1,0,0
265,1,2,1,0.9999943633860405,2,3.0,1,4,3,2.0,1,3,1.0,1,4,2,0,0,1
266,1,1,1,0.9999942034163938,2,3.0,2,1,3,2.0,1,3,1.0,2,4,1,0,0,1
267,1,2,3,0.9999736298013335,1,2.0,2,2,3,4.0,3,3,1.0,1,3,1,1,0,1
268,1,2,3,0.9999982362384356,2,1.0,1,1,3,4.0,1,3,1.0,1,4,1,0,0,0
269,2,2,1,0.9999828439904423,5,3.0,4,4,3,4.0,1,3,3.0,1,1,1,1,0,1
270,1,2,1,0.9999874562803646,5,4.0,3,4,3,1.0,2,3,1.0,1,4,1,0,0,1
271,1,1,5,0.9999938731584681,4,2.0,3,4,3,4.0,1,3,3.0,2,4,1,1,0,1
272,1,2,3,0.9999778007259942,2,3.0,4,4,3,2.0,3,3,1.0,1,4,1,0,0,1
273,1,5,1,0.9999703081913889,1,4.0,4,4,3,4.0,3,1,1.0,1,3,1,0,0,1
274,1,1,3,0.9999744642745422,1,2.0,4,4,3,4.0,4,3,1.0,1,4,1,0,0,1
275,2,1,4,0.999996209846692,5,1.0,4,2,3,2.0,2,3,1.0,1,4,1,1,0,1
276,3,2,4,0.9999996825019576,2,1.0,1,1,3,1.0,2,3,1.0,1,3,1,1,0,1
277,3,2,5,0.9999969247613083,2,4.0,4,4,3,3.0,1,3,1.0,1,4,2,0,0,1
278,3,3,9,0.9999981474034936,5,5.0,2,4,3,4.0,1,3,2.0,1,1,1,1,0,1
279,1,2,1,0.9999538802050659,2,3.0,4,1,4,4.0,3,3,1.0,2,4,1,1,0,1
280,2,3,1,0.9999518429259004,2,1.0,4,3,3,4.0,3,2,1.0,1,4,1,0,0,0
281,1,2,6,0.9999516349126555,2,3.0,2,3,3,2.0,1,3,1.0,1,4,1,1,1,1
282,2,2,5,0.9999994565369748,2,1.0,1,3,3,4.0,1,3,3.0,1,1,1,1,0,0
283,2,1,5,0.9999988350541809,2,2.0,2,1,3,4.0,2,3,2.0,2,1,2,1,0,1
284,3,1,5,0.9999969350120497,2,2.0,4,4,3,4.0,3,3,2.0,1,4,1,0,0,1
285,3,1,6,0.9999991409188004,1,2.0,4,2,3,2.0,2,1,1.0,2,1,2,0,0,1
286,3,2,3,0.999999637102825,2,1.0,1,1,3,2.0,1,3,1.0,1,4,1,1,0,0
287,1,2,5,0.9999977808990336,1,1.0,1,1,3,4.0,1,3,3.0,1,4,1,0,0,1
288,1,2,4,0.999971927727476,1,2.0,4,4,2,2.0,2,3,1.0,1,3,1,0,1,1
289,1,2,3,0.9999912257240584,2,3.0,3,4,3,4.0,2,3,1.0,1,4,1,1,0,1
290,1,1,3,0.9999923690575901,4,4.0,3,4,3,2.0,1,3,1.0,2,4,1,1,0,1
291,1,2,4,0.9998848696587883,2,5.0,1,1,3,4.0,3,3,1.0,1,2,1,1,0,1
292,2,4,1,0.9999967520096853,2,3.0,4,1,3,1.0,2,3,1.0,1,4,1,1,0,0
293,2,1,4,0.9999706601277438,1,4.0,4,4,3,2.0,2,1,1.0,2,3,2,0,0,0
294,1,1,4,0.99994199739169,2,4.0,4,4,2,3.0,3,3,1.0,2,4,1,1,0,1
295,3,1,4,0.9999994929609672,3,3.0,2,4,3,2.0,2,1,2.0,1,4,1,0,0,0
296,1,2,3,0.9999785797581631,4,3.0,4,2,3,2.0,1,3,1.0,1,4,1,0,0,1
297,2,2,5,0.9999977101677688,1,4.0,2,1,3,4.0,1,2,3.0,1,3,1,0,0,1
298,1,2,1,0.9999073027461935,5,1.0,4,3,3,3.0,1,3,1.0,1,3,1,1,0,0
299,1,2,3,0.9999702660486077,2,3.0,3,1,3,4.0,1,3,1.0,1,4,1,0,0,0
300,1,2,4,0.9992460226629163,2,3.0,4,3,3,4.0,1,3,3.0,1,3,1,0,0,1
301,3,2,9,0.9999967708849169,1,5.0,3,4,3,4.0,2,1,2.0,1,2,1,1,0,1
302,2,2,3,0.9999980573707478,5,3.0,4,4,3,1.0,1,2,1.0,1,4,1,0,0,1
303,2,2,3,0.9999970829016235,2,1.0,2,1,3,4.0,1,3,1.0,1,4,1,0,0,1
304,1,2,4,0.9999083721240508,2,4.0,2,3,3,3.0,1,1,1.0,1,3,1,0,0,0
305,1,2,4,0.9999820796238139,1,1.0,1,4,3,2.0,1,3,1.0,1,3,2,0,1,1
306,2,5,3,0.9999917778524253,2,2.0,4,4,3,4.0,1,1,1.0,1,4,1,0,0,0
307,1,2,3,0.9998992699060306,2,3.0,2,4,4,3.0,2,3,1.0,1,3,2,0,0,1
308,2,2,3,0.9999977286251677,1,3.0,1,1,3,4.0,3,3,1.0,1,3,1,1,0,1
309,1,1,2,0.9999013172115132,2,3.0,4,4,3,2.0,1,3,1.0,2,4,1,0,0,1
310,1,3,3,0.9999969860247241,2,2.0,1,1,3,4.0,1,3,1.0,2,3,1,0,0,1
311,2,1,4,0.999997092070007,2,5.0,4,3,3,2.0,1,3,1.0,2,1,1,0,0,0
312,2,2,1,0.9999892169789447,2,1.0,4,2,3,3.0,1,3,1.0,1,4,1,0,0,0
313,2,2,5,0.9999938003198148,2,4.0,2,4,3,1.0,2,3,2.0,1,1,1,1,0,1
314,1,2,3,0.9999919381831195,4,3.0,4,4,3,2.0,1,3,1.0,1,4,1,0,0,1
315,1,1,4,0.9999517438677766,2,3.0,4,1,3,3.0,2,3,1.0,2,4,1,0,0,1
316,1,1,4,0.99999523664623,2,4.0,1,4,3,4.0,2,3,1.0,2,3,1,0,1,1
317,1,1,3,0.9999983953253807,1,2.0,2,4,3,4.0,3,3,3.0,1,4,1,1,0,1
318,2,2,4,0.9999724816519212,4,4.0,4,1,3,3.0,2,3,1.0,1,4,2,1,0,1
319,2,2,1,0.9999977008964204,2,2.0,4,4,3,2.0,1,3,1.0,1,4,1,0,0,1
320,1,2,1,0.9999544140362452,2,2.0,4,4,3,4.0,1,3,1.0,1,4,2,0,0,1
321,2,1,5,0.9999983888782138,2,5.0,2,4,3,4.0,4,3,2.0,2,1,1,1,0,1
322,1,1,2,0.9999853219352877,5,3.0,4,1,3,2.0,1,3,1.0,2,4,1,0,0,0
323,4,2,4,0.9999990342309285,5,1.0,4,1,3,2.0,1,3,1.0,1,1,1,0,0,0
324,3,1,5,0.9999995384438768,5,3.0,2,1,3,4.0,1,1,3.0,2,3,1,0,0,0
325,2,4,3,0.99999638886405,2,2.0,3,4,3,4.0,1,1,3.0,2,4,2,0,0,0
326,1,1,3,0.9999965070126959,2,3.0,1,2,3,4.0,2,3,3.0,1,1,1,1,0,0
327,1,2,1,0.9999919578714797,2,1.0,2,1,4,4.0,1,3,1.0,1,3,1,0,0,1
328,1,2,7,0.9999597102397185,1,3.0,4,1,3,2.0,1,3,3.0,1,4,1,0,0,0
329,2,2,3,0.9999966341877774,2,3.0,4,4,3,4.0,1,3,1.0,1,4,1,0,0,1
330,1,2,3,0.9999820618363068,2,3.0,4,2,3,2.0,1,3,1.0,1,3,1,0,0,1
331,2,1,2,0.999998772061572,2,1.0,2,1,3,4.0,1,3,2.0,2,4,1,1,0,1
332,1,2,3,0.9999964486635008,2,4.0,1,1,3,4.0,1,3,3.0,1,3,1,0,0,1
333,1,2,1,0.9999960284519763,3,1.0,1,3,3,3.0,1,3,3.0,1,4,1,0,0,1
334,1,2,6,0.9999979954102761,2,2.0,1,4,2,1.0,1,1,1.0,1,1,1,1,0,1
335,1,2,4,0.9999971464605265,2,1.0,1,4,4,1.0,2,3,1.0,1,3,2,0,0,1
336,1,1,1,0.9999830885478923,2,3.0,4,1,3,2.0,2,3,1.0,1,3,1,0,0,1
337,1,1,1,0.9999325195186524,2,1.0,4,4,4,4.0,1,3,1.0,2,4,1,0,0,1
338,2,2,1,0.9999966012010788,3,5.0,1,1,3,4.0,1,3,3.0,1,2,1,0,0,1
339,1,3,6,0.9999771242612566,5,3.0,1,4,3,2.0,2,3,1.0,2,3,1,0,0,1
340,1,2,7,0.9999590912296498,2,1.0,1,1,3,4.0,1,3,3.0,1,4,1,1,0,1
341,1,2,3,0.9999608582906883,2,3.0,1,1,3,2.0,1,3,1.0,1,4,1,0,1,0
342,1,1,5,0.9999943893119749,1,5.0,2,4,3,4.0,2,3,1.0,1,1,1,1,0,1
343,1,4,1,0.9999984776602001,2,3.0,4,4,3,2.0,1,3,3.0,2,4,1,1,0,0
344,1,2,2,0.9998902795220451,3,2.0,4,4,3,4.0,2,3,2.0,1,4,1,1,0,1
345,1,1,1,0.9999922703521626,1,2.0,1,4,2,4.0,3,3,1.0,1,4,1,1,0,1
346,2,3,1,0.999997740786532,2,3.0,4,4,3,2.0,1,3,1.0,2,1,1,1,0,0
347,1,2,1,0.999927769809762,2,3.0,4,3,3,2.0,1,3,1.0,1,4,1,0,0,1
348,2,2,3,0.9999899808651797,2,4.0,4,1,3,4.0,1,3,3.0,1,4,1,0,0,0
349,1,2,2,0.9999618944329094,1,3.0,4,4,3,4.0,3,3,2.0,1,4,1,0,0,1
350,1,2,1,0.9999971003833229,1,2.0,2,4,3,3.0,2,3,1.0,1,1,1,0,0,1
351,1,3,4,0.9999911865057678,2,3.0,2,1,3,2.0,2,2,1.0,2,4,1,1,0,1
352,1,2,3,0.9999858921092637,2,3.0,1,3,3,2.0,1,3,3.0,1,4,1,0,0,1
353,1,2,3,0.9999916609512841,2,5.0,4,4,3,1.0,1,3,1.0,1,2,1,0,0,0
354,1,2,6,0.9999705618770357,2,4.0,2,4,3,4.0,2,3,1.0,1,4,1,1,0,1
355,1,1,5,0.9999961207849271,2,4.0,3,4,3,1.0,1,3,1.0,2,4,1,0,0,1
356,1,2,3,0.9999968474534517,2,1.0,1,1,3,4.0,1,3,3.0,1,4,1,0,0,1
357,2,2,3,0.9999955789454138,2,2.0,4,4,3,2.0,2,3,1.0,1,4,2,0,0,0
358,1,2,3,0.9999941706045852,2,4.0,2,1,3,4.0,2,3,3.0,1,4,1,0,0,1
359,2,2,4,0.9999934601460244,1,3.0,4,4,3,4.0,2,3,1.0,1,4,1,0,0,1
360,1,1,1,0.9999987108145728,2,2.0,3,4,3,4.0,1,3,1.0,2,4,1,1,0,1
361,1,1,3,0.9999916402007544,2,1.0,1,1,3,3.0,1,3,3.0,2,4,1,0,0,1
362,4,1,4,0.9999997119870733,1,2.0,2,4,3,4.0,4,1,2.0,1,1,1,1,0,1
363,4,5,9,0.9999995263324366,5,2.0,3,1,3,4.0,3,1,2.0,2,1,1,1,0,0
364,3,5,6,0.9999985861679879,2,4.0,2,1,4,4.0,2,3,3.0,1,4,1,0,0,0
365,1,3,1,0.999990060344392,2,5.0,2,3,3,3.0,2,3,1.0,2,4,1,0,0,1
366,1,3,1,0.9999287503011491,1,2.0,3,4,3,4.0,2,3,2.0,1,4,1,0,0,1
367,2,2,4,0.9999997487868616,2,2.0,4,4,3,2.0,3,3,2.0,1,1,1,1,0,0
368,1,1,4,0.9995119719093207,5,3.0,4,1,3,4.0,3,3,1.0,2,3,1,0,0,1
369,1,2,3,0.9999875333011579,1,4.0,4,4,3,4.0,2,3,1.0,1,4,1,1,0,1
370,1,2,5,0.9999996585037425,2,5.0,3,1,3,4.0,2,3,2.0,1,1,1,1,0,0
371,2,2,4,0.999963248241864,1,4.0,4,1,3,4.0,1,3,3.0,1,4,1,0,0,1
372,1,2,4,0.999972300319926,2,1.0,4,4,3,1.0,1,3,1.0,1,4,1,0,0,1
373,2,3,6,0.9999961096083331,5,3.0,2,4,3,2.0,1,3,1.0,2,3,1,0,0,1
374,1,1,1,0.9999936111064525,2,3.0,2,1,3,1.0,1,3,1.0,2,4,1,0,0,1
375,1,2,1,0.9999696356375016,1,1.0,4,1,3,2.0,1,3,3.0,1,4,1,1,0,1
376,1,1,3,0.9999989517426741,2,5.0,4,4,3,4.0,2,2,1.0,2,1,1,1,0,1
377,1,1,6,0.9999886329363991,3,3.0,2,4,3,4.0,1,1,1.0,1,4,1,0,0,1
378,1,2,6,0.9999721387276989,2,4.0,3,1,3,2.0,1,3,1.0,2,4,1,0,0,1
379,1,2,4,0.9999885281529688,2,3.0,2,3,3,2.0,1,3,1.0,1,1,1,1,0,1
380,1,2,3,0.9999539507060173,4,1.0,1,1,3,4.0,1,3,3.0,1,3,1,0,0,1
381,2,2,4,0.9999949791970608,2,4.0,2,4,3,4.0,2,1,2.0,1,1,2,1,0,1
382,1,1,1,0.9999895558876201,2,4.0,1,1,3,4.0,1,3,1.0,1,4,1,0,0,1
383,1,2,3,0.9999921759355248,2,5.0,3,1,3,4.0,3,3,2.0,1,1,1,0,0,1
384,2,1,3,0.999991384275332,2,3.0,3,3,3,2.0,2,3,1.0,2,4,1,1,0,1
385,1,2,4,0.9999709184602031,2,2.0,1,2,3,1.0,2,3,3.0,2,4,1,0,0,0
386,2,1,1,0.9999810731419709,4,3.0,4,1,3,1.0,2,3,1.0,2,3,1,0,0,1
387,1,2,1,0.9999797215865994,2,1.0,3,3,3,4.0,2,3,1.0,1,4,1,1,0,1
388,1,1,6,0.9999827288973967,1,3.0,4,3,3,4.0,1,1,1.0,2,4,1,0,0,1
389,2,3,6,0.9999992512166527,2,1.0,2,4,3,2.0,1,1,1.0,2,4,1,1,0,0
390,1,3,4,0.9999145015477544,2,3.0,4,4,3,2.0,1,3,1.0,2,3,1,0,0,1
391,1,3,4,0.9999926228187638,1,2.0,4,4,3,4.0,2,3,1.0,1,4,2,0,0,1
392,2,2,1,0.9999923031944868,2,1.0,1,3,3,1.0,1,3,1.0,1,4,1,1,0,0
393,2,1,5,0.9999850836465587,1,4.0,4,4,3,4.0,2,3,1.0,2,4,2,1,0,1
394,1,2,1,0.9999639272087028,2,1.0,4,3,3,2.0,1,3,1.0,1,4,1,0,1,1
395,2,2,1,0.9999969422680135,3,2.0,3,2,3,2.0,1,3,1.0,1,1,1,1,0,1
396,1,1,4,0.9999325251661934,3,4.0,4,3,3,2.0,1,3,1.0,3,4,1,1,0,0
397,2,2,1,0.9999883695580675,2,2.0,4,1,3,4.0,1,3,1.0,1,4,1,1,0,1
398,1,1,6,0.9999878173207238,2,5.0,4,4,3,2.0,2,2,1.0,2,1,1,1,0,0
399,1,2,4,0.9999774553589122,3,3.0,3,4,3,2.0,2,3,3.0,1,3,2,0,1,1
400,2,2,4,0.999974832650228,1,3.0,4,1,3,2.0,2,3,1.0,1,4,1,0,0,0
401,2,1,5,0.9999983738192398,2,2.0,2,4,3,2.0,2,3,1.0,2,4,2,1,0,1
402,1,2,4,0.9999930088967802,2,1.0,4,4,3,1.0,1,3,1.0,1,3,2,0,0,0
403,1,3,2,0.9999994356022263,1,3.0,1,1,3,2.0,1,3,3.0,2,4,1,1,0,1
404,1,2,4,0.9999956069939241,3,4.0,1,1,3,2.0,1,1,1.0,1,1,1,0,0,1
405,1,2,4,0.9999585571057578,1,3.0,4,1,3,2.0,1,3,1.0,1,4,1,0,0,0
406,1,2,3,0.9999917082807326,2,5.0,2,4,3,3.0,1,3,1.0,1,1,1,0,0,1
407,2,1,5,0.999998811924915,2,4.0,3,4,3,2.0,2,3,1.0,2,4,1,1,0,1
408,1,2,4,0.9999943846134863,4,4.0,2,1,3,3.0,1,3,3.0,1,4,1,0,0,1
409,1,2,5,0.9999860194957517,1,3.0,4,4,3,2.0,1,3,1.0,1,4,1,0,0,1
410,1,1,4,0.9999411665367827,2,4.0,2,4,3,3.0,2,3,1.0,2,3,2,0,0,1
411,1,3,3,0.9999741247780193,5,4.0,4,4,3,3.0,2,3,1.0,2,1,1,0,0,1
412,1,2,3,0.9999963296431391,1,2.0,1,1,3,2.0,1,1,1.0,1,4,1,1,0,0
413,1,2,5,0.9999928783445802,2,3.0,1,3,3,3.0,1,3,3.0,1,4,1,1,0,1
414,2,1,1,0.99999388632661,2,2.0,4,4,3,2.0,1,3,1.0,2,4,1,0,0,1
415,1,1,1,0.9999568275521817,4,3.0,4,4,3,3.0,2,3,1.0,2,4,1,0,0,1
416,1,2,3,0.9999727384436327,2,2.0,1,4,3,4.0,1,3,1.0,1,4,1,0,0,1
417,1,1,8,0.9999420995139404,2,5.0,2,1,3,4.0,3,3,2.0,3,2,2,0,0,0
418,1,2,6,0.9999940700539849,2,4.0,1,4,3,4.0,4,3,1.0,1,3,1,0,0,1
419,2,2,9,0.9999994350224931,2,3.0,2,4,2,3.0,1,1,1.0,2,1,1,1,0,0
420,1,1,3,0.9999818803321476,2,5.0,4,4,3,4.0,2,3,2.0,3,1,1,1,0,1
421,2,1,8,0.9999824104765549,2,3.0,4,2,3,2.0,1,3,1.0,2,4,1,1,0,1
422,1,2,3,0.999989589194548,2,3.0,3,4,3,2.0,1,3,1.0,1,4,1,0,0,1
423,1,2,1,0.9999843346144507,1,3.0,2,3,3,1.0,1,3,1.0,1,4,1,1,0,0
424,1,2,8,0.9998129542369872,3,4.0,2,3,3,4.0,1,3,3.0,1,3,1,0,0,1
425,2,1,4,0.9999637781556805,4,2.0,4,1,3,4.0,2,3,1.0,2,4,1,1,0,1
426,3,1,8,0.9999917096227211,2,5.0,4,4,2,4.0,4,3,1.0,2,2,1,0,0,1
427,1,5,6,0.9998503898952241,2,1.0,4,1,3,1.0,1,3,1.0,1,2,1,0,0,0
428,1,2,4,0.9999852093291937,2,2.0,4,4,3,4.0,2,3,1.0,1,1,1,1,0,1
429,1,2,3,0.9999857113259168,2,3.0,2,1,2,3.0,1,3,1.0,1,4,1,0,0,1
430,1,3,9,0.999987846812544,2,3.0,2,4,3,3.0,1,1,1.0,2,4,1,1,0,1
431,1,2,2,0.9999090964475141,2,2.0,4,4,3,4.0,2,1,1.0,1,3,2,0,0,0
432,3,1,3,0.999998652253143,2,3.0,2,1,3,3.0,1,3,1.0,1,1,1,1,0,0
433,1,1,2,0.9999709227848027,1,2.0,4,1,3,4.0,2,3,3.0,2,3,1,0,0,1
434,2,2,4,0.9999846745192064,2,1.0,4,1,3,4.0,2,3,1.0,1,4,1,1,0,0
435,1,2,1,0.9999930679514063,2,3.0,2,4,4,2.0,2,3,1.0,1,4,1,0,0,1
436,1,2,3,0.9999807676612644,1,2.0,3,1,3,4.0,3,3,1.0,1,1,1,1,0,1
437,1,3,8,0.9999628215633929,4,3.0,3,3,3,3.0,3,2,1.0,2,4,1,0,0,0
438,2,1,5,0.9999995867125777,1,3.0,4,4,3,2.0,1,3,1.0,1,1,1,1,0,1
439,1,2,1,0.999871448891554,2,3.0,3,1,3,1.0,1,3,1.0,1,4,1,0,0,1
440,1,4,3,0.9999924463036463,2,2.0,2,4,3,4.0,2,3,1.0,2,4,1,0,0,1
441,2,2,5,0.9999917940664156,2,2.0,4,4,3,4.0,2,3,1.0,1,1,1,1,0,1
442,2,2,4,0.9999976943202391,2,4.0,2,4,2,3.0,1,3,1.0,1,4,1,1,0,0
443,2,2,5,0.9999943570536671,2,1.0,4,1,3,1.0,1,3,1.0,1,1,1,1,0,1
444,1,1,4,0.9999963604429132,2,3.0,2,4,3,2.0,2,3,3.0,2,4,2,0,0,1
445,1,2,5,0.9999945922792226,2,2.0,3,4,3,4.0,2,3,2.0,1,4,1,1,0,0
446,1,2,7,0.9995073723965503,2,1.0,4,1,3,1.0,1,3,1.0,1,4,1,0,0,1
447,1,2,1,0.9999981047051831,2,1.0,3,4,3,2.0,1,3,1.0,1,4,1,1,0,1
448,2,2,3,0.9999960700454495,2,3.0,1,4,4,2.0,2,3,1.0,1,4,2,0,0,1
449,1,2,4,0.9999836254516179,2,1.0,2,4,3,3.0,2,3,1.0,1,4,1,0,0,1
450,1,2,3,0.9999964294886773,2,1.0,3,1,3,1.0,2,3,3.0,1,1,1,0,0,1
451,1,2,10,0.9998215128050345,1,2.0,4,4,3,4.0,2,3,1.0,2,4,1,0,0,1
452,1,2,6,0.9999822489933686,2,4.0,4,4,3,1.0,2,2,1.0,2,4,1,1,0,1
453,2,2,5,0.9999915788331162,2,3.0,3,4,4,4.0,4,1,1.0,1,4,2,1,0,1
454,2,3,1,0.9999854669170709,2,1.0,4,1,3,2.0,1,3,3.0,1,3,1,1,0,0
455,3,3,1,0.9999990933161889,1,2.0,3,4,3,3.0,1,1,1.0,2,4,2,0,0,1
456,2,3,6,0.9999925390536365,2,3.0,2,1,3,2.0,1,3,1.0,2,4,1,1,0,1
457,2,3,5,0.9999970081951586,2,4.0,3,4,3,3.0,2,3,1.0,2,3,1,1,0,1
458,2,2,1,0.9999945609778189,5,1.0,3,3,3,2.0,1,3,3.0,1,4,1,1,0,0
459,1,2,2,0.9997883126125776,2,1.0,4,1,3,4.0,1,3,1.0,1,4,1,0,0,0
460,1,2,4,0.9998761090282545,2,3.0,4,4,3,3.0,1,3,1.0,1,3,1,0,0,0
461,1,1,1,0.99997322731349,2,3.0,4,3,3,2.0,1,3,1.0,1,4,1,0,0,0
462,1,4,3,0.9999951016117784,2,1.0,1,1,3,4.0,1,3,3.0,1,4,1,0,0,0
463,3,2,5,0.9999891664504057,3,3.0,4,4,3,4.0,1,3,1.0,1,4,1,0,0,1
464,2,2,1,0.999998191625599,2,4.0,4,4,3,2.0,1,1,1.0,1,4,1,0,0,1
465,1,2,6,0.9999265449388239,5,4.0,3,4,3,4.0,2,3,1.0,1,3,1,0,0,1
466,1,1,3,0.9999734501648102,2,2.0,4,4,3,4.0,2,3,1.0,2,4,2,1,0,1
467,1,1,1,0.9999980025641201,2,3.0,1,1,3,1.0,1,3,1.0,1,3,1,0,0,1
468,2,2,4,0.9999649907702045,2,1.0,4,4,3,1.0,1,3,1.0,1,4,1,0,0,1
469,2,2,3,0.9999950834595135,4,2.0,4,1,3,4.0,3,3,3.0,2,4,1,1,0,1
470,1,3,3,0.9999419538391486,4,4.0,3,1,3,2.0,1,3,1.0,2,4,1,0,0,1
471,1,1,4,0.999953055608563,3,3.0,4,4,3,4.0,2,3,1.0,1,4,1,1,0,1
472,1,3,4,0.9999555336187855,2,5.0,4,4,3,4.0,2,3,1.0,1,1,1,1,0,0
473,1,2,1,0.9999945606288546,2,3.0,2,4,3,4.0,3,3,1.0,1,4,1,1,0,1
474,2,2,4,0.9999958200903108,2,2.0,4,1,2,4.0,4,3,2.0,1,4,1,1,0,1
475,1,2,4,0.9999681721884525,5,3.0,3,4,3,2.0,2,3,3.0,1,3,1,0,1,1
476,1,2,4,0.9999952732665023,2,3.0,2,4,4,3.0,1,3,3.0,1,4,1,0,0,1
477,1,1,1,0.9999897070210478,2,2.0,2,4,3,2.0,1,3,1.0,2,4,1,0,0,1
478,2,4,6,0.9999991472659122,2,2.0,2,1,3,4.0,2,3,2.0,2,1,1,1,0,0
479,1,1,1,0.9999732066508886,5,3.0,1,1,3,1.0,1,3,1.0,2,4,1,0,0,1
480,1,2,1,0.9996273055724904,1,2.0,4,4,3,4.0,2,3,1.0,1,4,1,0,0,1
481,1,1,4,0.9999877858296298,2,3.0,3,4,3,2.0,2,3,3.0,2,3,2,0,1,1
482,2,2,3,0.9999947638650765,1,3.0,2,3,3,4.0,1,3,1.0,1,4,1,0,0,0
483,2,2,3,0.9999993689748837,5,1.0,4,4,2,1.0,1,3,3.0,1,1,1,1,0,0
484,2,1,3,0.9999761176444798,2,4.0,4,4,3,3.0,2,3,1.0,2,4,1,0,0,1
485,1,1,4,0.9999665793874423,5,2.0,2,2,3,4.0,1,3,1.0,2,4,2,1,0,1
486,2,2,4,0.9999956424525701,2,1.0,4,1,3,1.0,1,3,1.0,1,4,1,0,0,0
487,2,2,5,0.9999979286214725,2,2.0,2,4,3,4.0,2,3,2.0,1,4,2,0,0,1
488,1,2,1,0.9999582004257852,5,2.0,2,2,3,4.0,3,3,1.0,1,4,1,0,0,1
489,2,1,1,0.9999597631843455,5,1.0,4,4,3,4.0,2,1,1.0,2,4,2,0,0,0
490,1,2,4,0.9999658607219482,1,3.0,4,4,4,4.0,1,3,1.0,1,3,1,0,0,0
491,1,1,5,0.9999899455696227,3,3.0,2,4,3,2.0,2,3,1.0,1,4,1,1,0,1
492,1,5,4,0.999998476214256,5,5.0,1,4,3,2.0,2,3,1.0,1,1,2,1,0,0
493,2,2,1,0.9999774620968787,2,3.0,4,3,3,2.0,1,3,1.0,1,4,1,0,0,1
494,3,2,5,0.9999991119106747,5,2.0,4,4,3,2.0,2,3,1.0,1,1,1,1,0,1
495,1,2,4,0.9999002025884963,2,4.0,4,4,3,2.0,1,3,1.0,1,4,1,0,0,0
496,2,2,5,0.9999977685351109,2,3.0,2,4,3,2.0,1,3,2.0,1,1,1,1,0,1
497,1,2,6,0.9999899585568865,2,4.0,2,4,3,4.0,1,3,3.0,1,4,1,1,0,1
498,1,3,1,0.9998320242165408,2,3.0,4,3,3,4.0,1,3,3.0,2,4,1,0,0,1
499,2,2,4,0.999989577401998,1,1.0,4,4,3,1.0,3,3,1.0,1,4,1,0,0,1
500,1,1,4,0.9998517374342698,2,4.0,4,1,3,3.0,2,3,1.0,2,4,1,0,1,1
501,1,1,4,0.9999735477512978,2,1.0,2,4,3,4.0,2,3,1.0,1,3,2,0,1,1
502,2,1,3,0.999999114072018,2,1.0,2,1,3,4.0,1,3,3.0,2,4,1,1,0,0
503,1,2,4,0.9999578525675717,5,2.0,3,4,3,2.0,2,3,1.0,1,4,1,1,0,1
504,1,1,1,0.9998938944409943,1,2.0,4,4,3,4.0,2,3,2.0,2,4,1,0,0,1
505,2,1,8,0.9999972631804939,2,2.0,3,4,3,4.0,2,3,2.0,2,4,1,0,0,1
506,1,2,1,0.9999967571231142,2,3.0,2,1,3,2.0,1,3,1.0,1,4,1,0,0,0
507,3,4,3,0.9999985891945234,2,3.0,3,4,3,4.0,3,3,2.0,2,4,2,0,0,0
508,2,2,5,0.9999942874747768,5,4.0,3,1,3,4.0,1,3,1.0,1,4,1,0,0,1
509,1,2,1,0.99996206126781,2,3.0,4,1,4,4.0,1,3,1.0,1,3,2,0,0,1
510,2,2,5,0.9999991411539182,2,1.0,2,4,3,3.0,1,3,1.0,2,4,1,0,0,1
511,1,1,2,0.9999776319975738,5,3.0,4,1,3,3.0,1,3,1.0,1,4,1,0,0,1
512,1,1,1,0.9999811869715113,2,4.0,2,4,3,1.0,2,3,1.0,2,3,2,0,0,1
513,2,2,1,0.9999901873499086,2,3.0,4,2,3,4.0,1,3,3.0,1,4,1,0,0,0
514,1,2,4,0.9998790847394818,2,1.0,3,4,3,4.0,2,3,1.0,1,3,2,1,0,1
515,2,2,2,0.9999900321415047,2,4.0,3,4,3,1.0,1,3,1.0,2,4,2,0,0,1
516,1,2,4,0.9999908989201567,5,3.0,2,1,3,4.0,1,3,3.0,2,4,1,1,0,0
517,1,3,5,0.9999692357167059,2,3.0,4,3,3,4.0,2,3,3.0,1,4,1,0,0,1
518,2,2,1,0.9999639286158827,5,4.0,4,3,3,3.0,1,3,1.0,1,4,1,1,0,1
519,2,2,1,0.9999953843401604,1,1.0,4,4,3,2.0,1,3,1.0,2,4,1,0,0,1
520,1,1,2,0.9999938636737014,2,1.0,2,2,3,1.0,1,3,3.0,1,4,1,0,0,0
521,1,2,4,0.9999700735303885,1,5.0,4,1,3,3.0,4,3,1.0,1,1,1,1,0,1
